model_name,image_name,accuracy_percentage,mean_distance,execution_time
deeplabv3,71_4_10_20_158_cow.jpg,71.84320374169656,198.2238456584562,18.444576501846313
deeplabv3,700_4_11_10_298_cow.jpg,58.21185279383501,294.1885563314015,19.037299394607544
deeplabv3,700_4_11_10_300_cow.jpg,60.938250497816114,274.9947164953746,17.452971696853638
deeplabv3,128_4_4_10_132_cow.jpg,84.28855734802579,110.60855626989846,17.27631664276123
deeplabv3,71_4_10_20_156_cow.jpg,66.88674034632834,233.11734796184845,17.666865587234497
deeplabv3,128_4_6_10_85_cow.jpg,69.73773925400354,213.04631565181504,19.007492303848267
deeplabv3,132_4_14_10_501_cow.jpg,71.74605529763683,198.90777070463676,17.807309865951538
deeplabv3,132_4_14_10_505_cow.jpg,78.21969501356297,153.3333471045167,17.278212547302246
deeplabv3,132_4_5_10_64_cow.jpg,56.08133157457254,309.1874257150094,17.57047700881958
deeplabv3,56_4_10_10_106_cow.jpg,83.05261434315769,119.30959502416994,18.11314606666565
deeplabv3,39_4_10_10_108_cow.jpg,73.80379111976177,184.4213105168771,18.644540071487427
deeplabv3,736_4_10_21_49_cow.jpg,67.39083711807525,229.56850668875023,17.596795082092285
deeplabv3,110_4_5_22_151_cow.jpg,61.798168468483006,268.9408939818796,17.268261671066284
deeplabv3,128_4_14_12_108_cow.jpg,83.13158792698935,118.75362099399491,17.860143899917603
deeplabv3,128_4_14_12_110_cow.jpg,63.496139148584454,256.9871803939655,19.17949676513672
deeplabv3,128_4_14_12_112_cow.jpg,64.09941518278673,252.74011711318147,20.537761926651
deeplabv3,128_4_5_23_10_cow.jpg,61.96977852598533,267.73275917706326,17.897853136062622
deeplabv3,736_4_5_22_162_cow.jpg,74.38185879472967,180.35171408510308,18.336002588272095
deeplabv3,32_4_10_11_39_cow.jpg,68.24512052467647,223.5543515062777,18.74016308784485
deeplabv3,32_4_10_11_43_cow.jpg,67.82728492617613,226.49591411971997,17.506069660186768
deeplabv3,32_4_15_13_100_cow.jpg,67.0691246053334,231.83336277845288,17.57082223892212
deeplabv3,32_4_15_13_102_cow.jpg,67.75893475861685,226.97709929933734,18.46186876296997
deeplabv3,37_4_5_20_221_cow.jpg,64.22865856702553,251.8302436881403,18.133593559265137
deeplabv3,37_4_5_20_223_cow.jpg,60.291817511086144,279.5456047219535,17.319453477859497
deeplabv3,38_4_10_13_37_cow.jpg,76.43747110096308,165.8802034492199,17.645286798477173
deeplabv3,40_4_15_12_401_cow.jpg,52.30882038350225,335.74590450014415,18.454894542694092
